file	key	status	page	reason	citation_chunk_before	citation_chunk_after	paragraph
2266-wade-wadan.model.md	Luick1914	localized	239		[@Campbell1959; @RingeTaylor2014; @Luick1914]	[@Campbell1959; @RingeTaylor2014; @Luick1914, 239]	Campbell and Ringe and Taylor describe A-restoration before a following back vowel, and Luick explicitly includes `wadan` among the standard open-syllable examples [@Campbell1959; @RingeTaylor2014; @Luick1914].
2268-wake-wacan.model.md	BosworthToller1898	localized	226		[@BosworthToller1898]	[@BosworthToller1898, 226]	Clark Hall keeps **`wacan`** and **`wacian`** as separate headwords [@ClarkHall1960]. Bosworth-Toller adds an important caution under **`wacan`**: the simplex infinitive itself does not occur, its place seeming to be taken by **`wæcnan`** [@BosworthToller1898].
2270-warp-weorpan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Hogg1992]		Breaking before `r + C` yields `weor-`, and the infinitive develops regularly to `weorpan` [@Campbell1959; @Hogg1992].
2272-wash-wascan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014, 142]		From `*wáskaną`, brightening gives `*wæskaną`. A-restoration before the `sC` cluster restores `a`, and medial `sc` remains unpalatalized before the following back vowel, yielding `wascan` [@Campbell1959; @RingeTaylor2014, 142].
2276-wax-weaxan.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		From `*wáxsaną`, brightening and breaking yield `weax-`, and the infinitive develops regularly to `weaxan`. The cluster is preserved here, since `xs > s` belongs to forms where another consonant follows, such as `wæstm`, not to the infinitive itself [@Campbell1959; @SieversBrunner1965].
2277-way-weġ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]		Kroonen cites the noun as `*wega-` 'way, road', while the selected derivational form here is nominative-singular `*wégaz` [@Kroonen2013]. Campbell, Hogg, and Ringe and Taylor use the same word as the standard contrast between singular palatal `weġ` and inflected `wegas/wegum` [@Campbell1959; @Hogg1992; @RingeTaylor2014, 341].
2277-way-weġ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014, 341]		The Old English singular is the ordinary noun `weg`, here normalized as `weġ` to show the palatal final. The contrasting plural and oblique forms `wegas, wegum` keep a velar stop before the following back vowel [@Campbell1959; @RingeTaylor2014, 341].
2277-way-weġ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]		From `*wégaz`, final `*z` is lost and the weak tail apocopates, leaving word-final `*g` after a front vowel. In that environment Old English palatalization yields `weġ`, whereas `wegas` remains velar because the following `a` blocks the same outcome [@Campbell1959; @Hogg1992; @RingeTaylor2014, 341].
2284-whale-hwæl.model.md	BosworthToller1898	localized	326		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 326]	Clark Hall lemmatizes the noun as **`hwal`**, and Bosworth-Toller preserves the plural **`hwalas`** [@ClarkHall1960; @BosworthToller1898]. The comparison form is normalized here as **`hwæl`** for the singular citation form with Anglo- Frisian fronting.
2294-wind-windan.model.md	BosworthToller1898	localized	101		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 101]	Clark Hall and Bosworth-Toller record `windan` as the verb headword [@ClarkHall1960; @BosworthToller1898]. The selected target is the ordinary infinitive of the strong verb.
2296-withy-wīþiġ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Adamczyk2001]		For Old English, the relevant point is the suffix history. Campbell's account of OE `-ig`, including forms such as `hunig`, supports an analysis in which the `-iġ` of `wīþiġ` continues a derivational `*-ag-` sequence rather than a heavy ja-stem `*-ij-` [@Campbell1959, §§275, 376]. The earlier ja-stem pathway remains useful as a comparative possibility, but the Campbell-Adamczyk line on heavy ja-stems points instead toward `-e` or zero type outcomes [@Campbell1959; @Adamczyk2001]. The selected input `*wḯθagą` is thus a formation choice rather than a mere respelling of the comparative headword.
2298-wolf-wulf.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		The inherited noun is an a-stem: Kroonen gives `*wulfa-`, and the regular Old English development of that citation form is the same one reflected by Old High German `wolf` [@Kroonen2013; @RingeTaylor2014]. Campbell accordingly names Old English `wulf` as an exception to the regular lowering of stressed `u` before a following non-high vowel [@Campbell1959].
2298-wolf-wulf.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		Old English `wulf` is an attested noun, and the handbook tradition treats it as the ordinary lexical form while simultaneously recognizing its exceptional vowel [@Campbell1959; @SieversBrunner1965]. The oblique form `wulfe` also belongs to the record, but Sievers-Brunner warns that this type continues `wulfi` only with i-umlaut later abandoned across the paradigm [@SieversBrunner1965].
2298-wolf-wulf.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		Under the regular lowering of stressed `u`, the citation-form input gives `wolf`, not `wulf` [@Campbell1959; @RingeTaylor2014]. The compact trace shows exactly that path: `*wúlfaz > *wólfaz > *wólfa > wolf`.
2298-wolf-wulf.model.md	Luick1914	localized	148		[@Luick1914]	[@Luick1914, 148]	The older literature often notices that the exceptional words cluster near labials. Bülbring lists `full`, `wulle`, and `wulf` together, but he also says that the ordinary rule still gives `o` in comparable forms such as `folc` and `bolt` [@Bulbring1902]. Luick rejects a categorical labial blocker on the same grounds and prefers a lexical or analogical account instead [@Luick1914].
2300-wool-wull.model.md	Luick1914	localized	148		[@Luick1914; @RingeTaylor2014, §2.3.1]	[@Luick1914, 148; @RingeTaylor2014, §2.3.1]	That regular derivation is not the attested Old English form. Luick rejects a simple phonological rule that would protect this word alone, and Ringe and Taylor state the larger problem plainly: we do not really know why `*u` failed to lower in forms of this sort [@Luick1914; @RingeTaylor2014, §2.3.1].
2305-yarn-ġearn.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898]		Clark Hall records `gearn (e) n.` 'yarn, spun wool', and Bosworth-Toller glosses `gearn` as `filatum` [@ClarkHall1960; @BosworthToller1898].
2308-youth-ġeoguþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		That staging matters because Ringe and Taylor explicitly give the sequence `*jugunþi > *juguþ > OE geoguþ ~ iuguþ` [@RingeTaylor2014]. Campbell makes the same point with the parallel `duguþ < *dugunþ-`, adding `geoguþ` to the same history [@Campbell1959]. The selected input therefore differs from the broader comparative headword because the Old English development must begin after early loss of final `-i`.
2308-youth-ġeoguþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		The Old English noun is attested with varying spellings. Campbell records forms of the `iuguþ / gioguð / geoguð` type, and Ringe and Taylor likewise cite `geoguþ ~ iuguþ` [@Campbell1959; @RingeTaylor2014]. The form is normalized here as `ġeoguþ`: the initial palatal is written with `ġ`, and the attested spelling variation is treated as orthographic rather than lexical.
2308-youth-ġeoguþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	"[@Campbell1959; @SieversBrunner1965;
@Luick1914]"		From the selected input `*júgunθ`, the later development is regular: palatal fronting yields `*jéugunθ`; nasal-spirant lengthening and loss give `*jéogūθ`; unstressed long-vowel shortening then produces `*jéoguθ`, which surfaces as `ġeoguþ`. Medial `u` remains preserved because the handbooks treat this environment as one of stem-`u` harmony after stressed `u`, citing forms such as `munuc`, `duguþ`, and `iuguþ` [@Campbell1959; @SieversBrunner1965; @Luick1914].
2308-youth-ġeoguþ.model.md	Luick1914	localized	397		"[@Campbell1959; @SieversBrunner1965;
@Luick1914]"	"[@Campbell1959; @SieversBrunner1965;
@Luick1914, 397]"	From the selected input `*júgunθ`, the later development is regular: palatal fronting yields `*jéugunθ`; nasal-spirant lengthening and loss give `*jéogūθ`; unstressed long-vowel shortening then produces `*jéoguθ`, which surfaces as `ġeoguþ`. Medial `u` remains preserved because the handbooks treat this environment as one of stem-`u` harmony after stressed `u`, citing forms such as `munuc`, `duguþ`, and `iuguþ` [@Campbell1959; @SieversBrunner1965; @Luick1914].
2309-make-(iptv.2sg)-maca.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		The make-family belongs to the Old English class-II weak verbs. Campbell cites `macian` beside `lapian` and similar verbs with restored `a`, and Ringe and Taylor place the Germanic verb in the same class, comparing West Germanic continuants such as Old Frisian `makia`, Old Saxon `makon`, and Old High German `mahhon` [@Campbell1959; @RingeTaylor2014].
2309-make-(iptv.2sg)-maca.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	"[@Campbell1959;
@RingeTaylor2014]"		From `*mákô`, Anglo-Frisian brightening first gives `*mækô`. In this class-II environment A-restoration returns the stem vowel to `a`, and unstressed long vowel shortening then gives `*maka`, whence `maca` [@Campbell1959; @RingeTaylor2014].
2315-lick-(iptv.2sg)-licca.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @Campbell1959; @SieversBrunner1965]		Bosworth-Toller lemmatizes the verb as `liccian`, and Campbell and Brunner likewise cite `liccian` with preserved geminate `cc` [@BosworthToller1898; @Campbell1959; @SieversBrunner1965]. The Old English evidence therefore establishes the verbal headword and its consonantal frame securely.
2315-lick-(iptv.2sg)-licca.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		The form treated here is not that remodeled infinitive but a finite cell in bare trimoric `*-ō`. Campbell's weak class-II discussion and Ringe and Taylor's account of the paradigm both distinguish those finite singular cells from the ordinary `*-ōja-` citation formation [@Campbell1959; @RingeTaylor2014].
2315-lick-(iptv.2sg)-licca.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@BosworthToller1898; @Campbell1959; @SieversBrunner1965]		Bosworth-Toller lemmatizes the verb as `liccian`, and Campbell and Brunner likewise cite `liccian` with preserved geminate `cc` [@BosworthToller1898; @Campbell1959; @SieversBrunner1965]. The Old English evidence therefore establishes the verbal headword and its consonantal frame securely.
2315-lick-(iptv.2sg)-licca.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		With the stem `licc-` established, the remaining development is brief. Trimoric `*-ô` shortens late to `-a` in this finite class-II cell, so `*líkkô` yields `*líkka` and then `licca` [@Campbell1959; @RingeTaylor2014]. The same stem consonantism that appears in `liccian` is preserved here, giving `cc` throughout the finite form.
2316-lick-(3sg)-liccaþ.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @Campbell1959; @SieversBrunner1965]		Bosworth-Toller lemmatizes the verb as `liccian`, and the same consonantal frame appears in Campbell and Brunner's grammatical citations of `liccian` [@BosworthToller1898; @Campbell1959; @SieversBrunner1965]. The Old English headword is therefore clear even though the entry here is not about the citation form.
2316-lick-(3sg)-liccaþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		The selected form in this entry is the non-`j` present third singular `*líkkōθi`, not the remodeled infinitive. Campbell states the class-II present endings as `lufas, -aþ (< -ōsi, -ōþi)`, and Ringe and Taylor likewise treat the class-II 2sg and 3sg as forms with stable `-a-` [@Campbell1959; @RingeTaylor2014].
2316-lick-(3sg)-liccaþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@BosworthToller1898; @Campbell1959; @SieversBrunner1965]		Bosworth-Toller lemmatizes the verb as `liccian`, and the same consonantal frame appears in Campbell and Brunner's grammatical citations of `liccian` [@BosworthToller1898; @Campbell1959; @SieversBrunner1965]. The Old English headword is therefore clear even though the entry here is not about the citation form.
2316-lick-(3sg)-liccaþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		`*líkkōθi` first loses final `-i`, giving `*líkkōθ`. Late shortening of unstressed `*ō` then yields `*líkkaθ`, written `liccaþ` [@Campbell1959; @RingeTaylor2014]. Because this ending never contains `-j-`, the form does not pass through an i-umlauted `-eþ` stage; the regular class-II outcome is `-aþ`.
2317-show-(iptv.2sg)-sċēawa.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		From `*skáwô`, Old English `*aw` before vocalic material yields `*skḗawô`, initial `sk` palatalizes, and late shortening of trimoric `*-ô` gives `*ʃḗawa`, written `sċēawa` [@Campbell1959]. The result is therefore the expected finite singular form of the `scēawian` family rather than an analogical replacement of the headword.
2318-show-(3sg)-sċēawaþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		Campbell states the class-II present endings as `lufas, -aþ (< -ōsi, -ōþi)`, and Ringe and Taylor likewise treat the class-II 2sg and 3sg as forms with stable `-a-` [@Campbell1959; @RingeTaylor2014]. The relevant comparison is therefore the 3sg cell itself, not an i-umlauted alternative.
2318-show-(3sg)-sċēawaþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		`*skáwōθi` first loses final `-i`, giving `*skáwōθ`. Old English `*aw` before vocalic material yields `*skḗawōθ`, initial `sk` palatalizes, and late shortening of unstressed `*ō` gives `*ʃḗawaθ`, written `sċēawaþ` [@Campbell1959]. Campbell's chronology matters here: late-shortened `ō` yields `a` too late for Anglo-Frisian fronting, and the class-II 3sg ending therefore gives `-aþ` rather than `-eþ` [@Campbell1959; @RingeTaylor2014]. Because the ending never contains `-j-`, no i-umlaut applies.
2318-show-(3sg)-sċēawaþ.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		`*skáwōθi` first loses final `-i`, giving `*skáwōθ`. Old English `*aw` before vocalic material yields `*skḗawōθ`, initial `sk` palatalizes, and late shortening of unstressed `*ō` gives `*ʃḗawaθ`, written `sċēawaþ` [@Campbell1959]. Campbell's chronology matters here: late-shortened `ō` yields `a` too late for Anglo-Frisian fronting, and the class-II 3sg ending therefore gives `-aþ` rather than `-eþ` [@Campbell1959; @RingeTaylor2014]. Because the ending never contains `-j-`, no i-umlaut applies.
