entry	class_bucket	source_key	current_citation	surrounding_sentence	source_layer	candidate_locator	locator_basis	action	reason_if_left_broad	file_changed	status
token — OE tācn	G	Campbell1959	[@Campbell1959; @SieversBrunner1965]	Form note. _tācn_ is the attested unbroken citation form selected here. Later West Saxon prose often prefers _tācen_, but that does not displace the older unbroken form [@Campbell1959; @SieversBrunner1965].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
token — OE tācn	G	SieversBrunner1965	[@Campbell1959; @SieversBrunner1965]	Form note. _tācn_ is the attested unbroken citation form selected here. Later West Saxon prose often prefers _tācen_, but that does not displace the older unbroken form [@Campbell1959; @SieversBrunner1965].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
town — OE tūn	B	Kroonen2013	[@Kroonen2013; @Orel2003, 452]	Kroonen cites _\*tūna-_ 'fenced area', while Orel gives _\*tūnan_ ~ _\*tūnaz_ [@Kroonen2013; @Orel2003, 452]. The selected input _\*tūną_ is the simple citation-form noun used in the derivation. Clark Hall records _tūn_ as the ordinary headword 'enclosure, yard, village, town' [@ClarkHall1960]. The inherited long _ū_ is preserved, and loss of the final nasal vowel yields _tūn_ regularly [@SieversBrunner1965].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
town — OE tūn	B	ClarkHall1960	[@ClarkHall1960]	Kroonen cites _\*tūna-_ 'fenced area', while Orel gives _\*tūnan_ ~ _\*tūnaz_ [@Kroonen2013; @Orel2003, 452]. The selected input _\*tūną_ is the simple citation-form noun used in the derivation. Clark Hall records _tūn_ as the ordinary headword 'enclosure, yard, village, town' [@ClarkHall1960]. The inherited long _ū_ is preserved, and loss of the final nasal vowel yields _tūn_ regularly [@SieversBrunner1965].	regular book-prose overlay	013	Exact OE headword sweep in local page-marked OCR found tun on p. 013.	leave broad	page found but claim not isolated	no	left_broad
town — OE tūn	G	SieversBrunner1965	[@SieversBrunner1965]	Kroonen cites _\*tūna-_ 'fenced area', while Orel gives _\*tūnan_ ~ _\*tūnaz_ [@Kroonen2013; @Orel2003, 452]. The selected input _\*tūną_ is the simple citation-form noun used in the derivation. Clark Hall records _tūn_ as the ordinary headword 'enclosure, yard, village, town' [@ClarkHall1960]. The inherited long _ū_ is preserved, and loss of the final nasal vowel yields _tūn_ regularly [@SieversBrunner1965].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wade — OE wadan	G	Campbell1959	[@Campbell1959; @RingeTaylor2014; @Luick1914, 239]	Campbell and Ringe and Taylor describe A-restoration before a following back vowel, and Luick explicitly includes _wadan_ among the standard open-syllable examples [@Campbell1959; @RingeTaylor2014; @Luick1914, 239]. Clark Hall gives _wadan_ as the verb 'to go, move, stride, advance', and Bright lists the same infinitive in the strong-verb paradigm [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wádaną_, Anglo-Frisian brightening first gives _\*wædaną_. This infinitive belongs to the A-restoration class. The citation form is therefore _wadan_, not a fronted _wæden_-type output.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wade — OE wadan	G	RingeTaylor2014	[@Campbell1959; @RingeTaylor2014; @Luick1914, 239]	Campbell and Ringe and Taylor describe A-restoration before a following back vowel, and Luick explicitly includes _wadan_ among the standard open-syllable examples [@Campbell1959; @RingeTaylor2014; @Luick1914, 239]. Clark Hall gives _wadan_ as the verb 'to go, move, stride, advance', and Bright lists the same infinitive in the strong-verb paradigm [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wádaną_, Anglo-Frisian brightening first gives _\*wædaną_. This infinitive belongs to the A-restoration class. The citation form is therefore _wadan_, not a fronted _wæden_-type output.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wade — OE wadan	A	ClarkHall1960	[@ClarkHall1960; @BrightCassidyRingler1971]	Campbell and Ringe and Taylor describe A-restoration before a following back vowel, and Luick explicitly includes _wadan_ among the standard open-syllable examples [@Campbell1959; @RingeTaylor2014; @Luick1914, 239]. Clark Hall gives _wadan_ as the verb 'to go, move, stride, advance', and Bright lists the same infinitive in the strong-verb paradigm [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wádaną_, Anglo-Frisian brightening first gives _\*wædaną_. This infinitive belongs to the A-restoration class. The citation form is therefore _wadan_, not a fronted _wæden_-type output.	regular book-prose overlay	353	Clark Hall headword wadan verified in local page-marked OCR.	locator_added		yes	tightened
wade — OE wadan	A	BrightCassidyRingler1971	[@ClarkHall1960; @BrightCassidyRingler1971]	Campbell and Ringe and Taylor describe A-restoration before a following back vowel, and Luick explicitly includes _wadan_ among the standard open-syllable examples [@Campbell1959; @RingeTaylor2014; @Luick1914, 239]. Clark Hall gives _wadan_ as the verb 'to go, move, stride, advance', and Bright lists the same infinitive in the strong-verb paradigm [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wádaną_, Anglo-Frisian brightening first gives _\*wædaną_. This infinitive belongs to the A-restoration class. The citation form is therefore _wadan_, not a fronted _wæden_-type output.	regular book-prose overlay	456	Bright strong-verb headword wadan verified in local page-marked OCR.	locator_added		yes	tightened
warp — OE weorpan	G	RingeTaylor2014	[@RingeTaylor2014]	Ringe and Taylor distinguish preterite _\*warp_ from infinitive _\*werpana_, and the selected input here is the verbal form _\*wérpaną_ [@RingeTaylor2014]. Clark Hall records _weorpan_ as the strong verb headword and separately lists _wearp_ as both noun and preterite. Breaking before _r + C_ yields _weor-_, and the infinitive develops regularly to _weorpan_ [@Campbell1959; @Hogg1992]. English *warp* also points to related _wearp_ material. The selected form here is the infinitive _weorpan_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
warp — OE weorpan	G	Campbell1959	[@Campbell1959; @Hogg1992]	Ringe and Taylor distinguish preterite _\*warp_ from infinitive _\*werpana_, and the selected input here is the verbal form _\*wérpaną_ [@RingeTaylor2014]. Clark Hall records _weorpan_ as the strong verb headword and separately lists _wearp_ as both noun and preterite. Breaking before _r + C_ yields _weor-_, and the infinitive develops regularly to _weorpan_ [@Campbell1959; @Hogg1992]. English *warp* also points to related _wearp_ material. The selected form here is the infinitive _weorpan_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
warp — OE weorpan	G	Hogg1992	[@Campbell1959; @Hogg1992]	Ringe and Taylor distinguish preterite _\*warp_ from infinitive _\*werpana_, and the selected input here is the verbal form _\*wérpaną_ [@RingeTaylor2014]. Clark Hall records _weorpan_ as the strong verb headword and separately lists _wearp_ as both noun and preterite. Breaking before _r + C_ yields _weor-_, and the infinitive develops regularly to _weorpan_ [@Campbell1959; @Hogg1992]. English *warp* also points to related _wearp_ material. The selected form here is the infinitive _weorpan_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wash — OE wascan	B	Kroonen2013	[@Kroonen2013; @Orel2003, 489; @RingeTaylor2014, 142]	Kroonen cites _\*waskan-_, Orel _\*waskanan_, and Ringe and Taylor likewise derive Old English _wascan_ from the same verb family [@Kroonen2013; @Orel2003, 489; @RingeTaylor2014, 142]. Clark Hall heads the verb as _wascan_, while Sievers-Brunner also notes the variant _wæscan_ [@ClarkHall1960; @SieversBrunner1965]. From _\*wáskaną_, brightening gives _\*wæskaną_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
wash — OE wascan	B	ClarkHall1960	[@ClarkHall1960; @SieversBrunner1965]	Kroonen cites _\*waskan-_, Orel _\*waskanan_, and Ringe and Taylor likewise derive Old English _wascan_ from the same verb family [@Kroonen2013; @Orel2003, 489; @RingeTaylor2014, 142]. Clark Hall heads the verb as _wascan_, while Sievers-Brunner also notes the variant _wæscan_ [@ClarkHall1960; @SieversBrunner1965]. From _\*wáskaną_, brightening gives _\*wæskaną_.	regular book-prose overlay	041	Exact OE headword sweep in local page-marked OCR found wascan on p. 041.	leave broad	page found but claim not isolated	no	left_broad
wash — OE wascan	G	SieversBrunner1965	[@ClarkHall1960; @SieversBrunner1965]	Kroonen cites _\*waskan-_, Orel _\*waskanan_, and Ringe and Taylor likewise derive Old English _wascan_ from the same verb family [@Kroonen2013; @Orel2003, 489; @RingeTaylor2014, 142]. Clark Hall heads the verb as _wascan_, while Sievers-Brunner also notes the variant _wæscan_ [@ClarkHall1960; @SieversBrunner1965]. From _\*wáskaną_, brightening gives _\*wæskaną_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wax — OE weaxan	A	Kroonen2013	[@Kroonen2013; @Orel2003, 478; @RingeTaylor2014]	Kroonen cites the verb as _\*wahs(j)an-_, Orel as _\*waxsanan_, and Ringe and Taylor discuss the prehistory of Old English _weaxan_ within the same verbal family [@Kroonen2013; @Orel2003, 478; @RingeTaylor2014]. Clark Hall gives _weaxan_ as the verb headword and separately records bare _wax_ as a preterite form; Bright likewise treats _weaxan_ as the infinitive [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wáxsaną_, brightening and breaking yield _weax-_, and the infinitive develops regularly to _weaxan_. The selected form is the infinitive _weaxan_. Noun _weax_ and preterite wax/_wēox_ belong to different lexical or paradigm slots.	regular book-prose overlay	606	Kroonen headword *wahs(j)an- verified in local page-marked OCR.	locator_added		yes	tightened
wax — OE weaxan	G	RingeTaylor2014	[@Kroonen2013; @Orel2003, 478; @RingeTaylor2014]	Kroonen cites the verb as _\*wahs(j)an-_, Orel as _\*waxsanan_, and Ringe and Taylor discuss the prehistory of Old English _weaxan_ within the same verbal family [@Kroonen2013; @Orel2003, 478; @RingeTaylor2014]. Clark Hall gives _weaxan_ as the verb headword and separately records bare _wax_ as a preterite form; Bright likewise treats _weaxan_ as the infinitive [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wáxsaną_, brightening and breaking yield _weax-_, and the infinitive develops regularly to _weaxan_. The selected form is the infinitive _weaxan_. Noun _weax_ and preterite wax/_wēox_ belong to different lexical or paradigm slots.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wax — OE weaxan	A	ClarkHall1960	[@ClarkHall1960; @BrightCassidyRingler1971]	Kroonen cites the verb as _\*wahs(j)an-_, Orel as _\*waxsanan_, and Ringe and Taylor discuss the prehistory of Old English _weaxan_ within the same verbal family [@Kroonen2013; @Orel2003, 478; @RingeTaylor2014]. Clark Hall gives _weaxan_ as the verb headword and separately records bare _wax_ as a preterite form; Bright likewise treats _weaxan_ as the infinitive [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wáxsaną_, brightening and breaking yield _weax-_, and the infinitive develops regularly to _weaxan_. The selected form is the infinitive _weaxan_. Noun _weax_ and preterite wax/_wēox_ belong to different lexical or paradigm slots.	regular book-prose overlay	358	Clark Hall headword weaxan verified in local page-marked OCR.	locator_added		yes	tightened
wax — OE weaxan	A	BrightCassidyRingler1971	[@ClarkHall1960; @BrightCassidyRingler1971]	Kroonen cites the verb as _\*wahs(j)an-_, Orel as _\*waxsanan_, and Ringe and Taylor discuss the prehistory of Old English _weaxan_ within the same verbal family [@Kroonen2013; @Orel2003, 478; @RingeTaylor2014]. Clark Hall gives _weaxan_ as the verb headword and separately records bare _wax_ as a preterite form; Bright likewise treats _weaxan_ as the infinitive [@ClarkHall1960; @BrightCassidyRingler1971]. From _\*wáxsaną_, brightening and breaking yield _weax-_, and the infinitive develops regularly to _weaxan_. The selected form is the infinitive _weaxan_. Noun _weax_ and preterite wax/_wēox_ belong to different lexical or paradigm slots.	regular book-prose overlay	458	Bright strong-verb headword weaxan verified in local page-marked OCR.	locator_added		yes	tightened
way — OE weġ	B	Kroonen2013	[@Kroonen2013]	Kroonen cites the noun as _\*wega-_ 'way, road', while the selected derivational form here is nominative-singular _\*wégaz_ [@Kroonen2013]. Campbell, Hogg, and Ringe and Taylor use the same word as the standard contrast between singular palatal _weġ_ and inflected _wegas/wegum_ [@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]. The Old English singular is the ordinary noun _weg_, here normalized as _weġ_ to show the palatal final. From _\*wégaz_, final _\*z_ is lost and the weak tail apocopates, leaving word-final _\*g_ after a front vowel.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
way — OE weġ	G	Campbell1959	[@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]	Kroonen cites the noun as _\*wega-_ 'way, road', while the selected derivational form here is nominative-singular _\*wégaz_ [@Kroonen2013]. Campbell, Hogg, and Ringe and Taylor use the same word as the standard contrast between singular palatal _weġ_ and inflected _wegas/wegum_ [@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]. The Old English singular is the ordinary noun _weg_, here normalized as _weġ_ to show the palatal final. From _\*wégaz_, final _\*z_ is lost and the weak tail apocopates, leaving word-final _\*g_ after a front vowel.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
way — OE weġ	G	Hogg1992	[@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]	Kroonen cites the noun as _\*wega-_ 'way, road', while the selected derivational form here is nominative-singular _\*wégaz_ [@Kroonen2013]. Campbell, Hogg, and Ringe and Taylor use the same word as the standard contrast between singular palatal _weġ_ and inflected _wegas/wegum_ [@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]. The Old English singular is the ordinary noun _weg_, here normalized as _weġ_ to show the palatal final. From _\*wégaz_, final _\*z_ is lost and the weak tail apocopates, leaving word-final _\*g_ after a front vowel.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
will — OE willa	B	Kroonen2013	[@Kroonen2013; @Orel2003; @KlugeSeebold2011]	Kroonen separates noun _\*weljan-_ 2 'will, wish' from verb _\*weljan-_ 1 'to want', while Orel and Kluge represent the noun as _\*weljōn_ [@Kroonen2013; @Orel2003; @KlugeSeebold2011]. The selected derivational form _\*wéljô_ is the noun-side input used for this row. Clark Hall lemmatizes noun _willa m._ separately from verb _willan_ [@ClarkHall1960, 368]. From _\*wéljô_, j-gemination yields a heavy stem, i-umlaut gives _will-_, and later shortening plus j-loss produce _willa_. The selected form is the noun _willa_ 'will, wish'. Related verb _willan_ belongs to a separate lexeme and should not be substituted for the noun row [@Kroonen2013; @ClarkHall1960, 368].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
will — OE willa	B	Orel2003	[@Kroonen2013; @Orel2003; @KlugeSeebold2011]	Kroonen separates noun _\*weljan-_ 2 'will, wish' from verb _\*weljan-_ 1 'to want', while Orel and Kluge represent the noun as _\*weljōn_ [@Kroonen2013; @Orel2003; @KlugeSeebold2011]. The selected derivational form _\*wéljô_ is the noun-side input used for this row. Clark Hall lemmatizes noun _willa m._ separately from verb _willan_ [@ClarkHall1960, 368]. From _\*wéljô_, j-gemination yields a heavy stem, i-umlaut gives _will-_, and later shortening plus j-loss produce _willa_. The selected form is the noun _willa_ 'will, wish'. Related verb _willan_ belongs to a separate lexeme and should not be substituted for the noun row [@Kroonen2013; @ClarkHall1960, 368].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
will — OE willa	D	KlugeSeebold2011	[@Kroonen2013; @Orel2003; @KlugeSeebold2011]	Kroonen separates noun _\*weljan-_ 2 'will, wish' from verb _\*weljan-_ 1 'to want', while Orel and Kluge represent the noun as _\*weljōn_ [@Kroonen2013; @Orel2003; @KlugeSeebold2011]. The selected derivational form _\*wéljô_ is the noun-side input used for this row. Clark Hall lemmatizes noun _willa m._ separately from verb _willan_ [@ClarkHall1960, 368]. From _\*wéljô_, j-gemination yields a heavy stem, i-umlaut gives _will-_, and later shortening plus j-loss produce _willa_. The selected form is the noun _willa_ 'will, wish'. Related verb _willan_ belongs to a separate lexeme and should not be substituted for the noun row [@Kroonen2013; @ClarkHall1960, 368].	regular book-prose overlay			leave broad	source quarantined	no	not_inspected
will — OE willa	B	Kroonen2013	[@Kroonen2013; @ClarkHall1960, 368]	Kroonen separates noun _\*weljan-_ 2 'will, wish' from verb _\*weljan-_ 1 'to want', while Orel and Kluge represent the noun as _\*weljōn_ [@Kroonen2013; @Orel2003; @KlugeSeebold2011]. The selected derivational form _\*wéljô_ is the noun-side input used for this row. Clark Hall lemmatizes noun _willa m._ separately from verb _willan_ [@ClarkHall1960, 368]. From _\*wéljô_, j-gemination yields a heavy stem, i-umlaut gives _will-_, and later shortening plus j-loss produce _willa_. The selected form is the noun _willa_ 'will, wish'. Related verb _willan_ belongs to a separate lexeme and should not be substituted for the noun row [@Kroonen2013; @ClarkHall1960, 368].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
wind — OE windan	B	Kroonen2013	[@Kroonen2013]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
wind — OE windan	G	Fulk2018	[@Fulk2018; @RingeTaylor2014]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wind — OE windan	G	RingeTaylor2014	[@Fulk2018; @RingeTaylor2014]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
wind — OE windan	B	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 101]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay	026	Exact OE headword sweep in local page-marked OCR found windan on p. 026.	leave broad	page found but claim not isolated	no	left_broad
wind — OE windan	B	Kroonen2013	[@Kroonen2013; @ClarkHall1960]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
wind — OE windan	B	ClarkHall1960	[@Kroonen2013; @ClarkHall1960]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960].	regular book-prose overlay	026	Exact OE headword sweep in local page-marked OCR found windan on p. 026.	leave broad	page found but claim not isolated	no	left_broad
wold — OE weald	B	Kroonen2013	[@Kroonen2013]	Kroonen reconstructs the noun as _\*walþu-_ and gives OE _weald_ beside other West Germanic _wald_ forms [@Kroonen2013]. The selected input _\*wálθuz_ is the nominative singular used for the derivation. Clark Hall makes _weald_ the main noun headword and cross-refers _wald_ and _wold_ to it [@ClarkHall1960]. _\*lþ_ voices to _ld_, Anglo-Frisian brightening yields _wæld-_, and breaking before the cluster gives _weald-_; apocope then yields _weald_.	regular book-prose overlay		Exact comparative-headword sweep in local page-marked OCR did not isolate the needed headword.	leave broad	headword not found	no	left_broad
wold — OE weald	B	ClarkHall1960	[@ClarkHall1960]	Kroonen reconstructs the noun as _\*walþu-_ and gives OE _weald_ beside other West Germanic _wald_ forms [@Kroonen2013]. The selected input _\*wálθuz_ is the nominative singular used for the derivation. Clark Hall makes _weald_ the main noun headword and cross-refers _wald_ and _wold_ to it [@ClarkHall1960]. _\*lþ_ voices to _ld_, Anglo-Frisian brightening yields _wæld-_, and breaking before the cluster gives _weald-_; apocope then yields _weald_.	regular book-prose overlay	019	Exact OE headword sweep in local page-marked OCR found weald on p. 019.	leave broad	page found but claim not isolated	no	left_broad
wold — OE weald	B	ClarkHall1960	[@ClarkHall1960; @RingeTaylor2014]	Dialect note. _wald_ survives as an Anglian-type variant in the same family. The selected target is normalized _weald_, not the variant form [@ClarkHall1960; @RingeTaylor2014].	regular book-prose overlay	019	Exact OE headword sweep in local page-marked OCR found weald on p. 019.	leave broad	page found but claim not isolated	no	left_broad
wold — OE weald	G	RingeTaylor2014	[@ClarkHall1960; @RingeTaylor2014]	Dialect note. _wald_ survives as an Anglian-type variant in the same family. The selected target is normalized _weald_, not the variant form [@ClarkHall1960; @RingeTaylor2014].	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
yarn — OE ġearn	A	Kroonen2013	[@Kroonen2013; @RingeTaylor2014, 220]	Kroonen cites the noun as _\*garna-_, and Ringe and Taylor give the early chain _\*garna_ > _\*geern_ > _\*gearn_ > OE _gearn_ [@Kroonen2013; @RingeTaylor2014, 220]. Clark Hall records _gearn (e) n._ 'yarn, spun wool', and Bosworth-Toller glosses _gearn_ as _filatum_ [@ClarkHall1960; @BosworthToller1898]. From _\*gárną_, brightening and breaking before _rn_ yield _gearn_; palatalization of initial _g_ before the resulting front-vocalic sequence gives normalized _ġearn_.	regular book-prose overlay	209	Kroonen *garna- evidence verified in local page-marked OCR.	locator_added		yes	tightened
yarn — OE ġearn	A	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898]	Kroonen cites the noun as _\*garna-_, and Ringe and Taylor give the early chain _\*garna_ > _\*geern_ > _\*gearn_ > OE _gearn_ [@Kroonen2013; @RingeTaylor2014, 220]. Clark Hall records _gearn (e) n._ 'yarn, spun wool', and Bosworth-Toller glosses _gearn_ as _filatum_ [@ClarkHall1960; @BosworthToller1898]. From _\*gárną_, brightening and breaking before _rn_ yield _gearn_; palatalization of initial _g_ before the resulting front-vocalic sequence gives normalized _ġearn_.	regular book-prose overlay	145	Clark Hall headword gearn verified in local page-marked OCR.	locator_added		yes	tightened
yarn — OE ġearn	G	BosworthToller1898	[@ClarkHall1960; @BosworthToller1898]	Kroonen cites the noun as _\*garna-_, and Ringe and Taylor give the early chain _\*garna_ > _\*geern_ > _\*gearn_ > OE _gearn_ [@Kroonen2013; @RingeTaylor2014, 220]. Clark Hall records _gearn (e) n._ 'yarn, spun wool', and Bosworth-Toller glosses _gearn_ as _filatum_ [@ClarkHall1960; @BosworthToller1898]. From _\*gárną_, brightening and breaking before _rn_ yield _gearn_; palatalization of initial _g_ before the resulting front-vocalic sequence gives normalized _ġearn_.	regular book-prose overlay			leave broad	not inspected in this pass	no	not_inspected
three — OE þrīe	G	Kroonen2013	[@Kroonen2013]	under one Old English-ready paradigm cell [@Kroonen2013]. The input	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
wasp — OE wæfs	B	ClarkHall1960	[@ClarkHall1960]	_wæps_ or later spellings as headwords [@ClarkHall1960].	non-regular model entry	353	Exact OE headword sweep in local page-marked OCR found wæfs on p. 353.	leave broad	page found but claim not isolated	no	left_broad
brand — OE brandes	G	Orel2003	[@Orel2003; @Kroonen2013]	_brand_ and its continental cognates [@Orel2003; @Kroonen2013]. The selected	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
brand — OE brandes	G	Kroonen2013	[@Orel2003; @Kroonen2013]	_brand_ and its continental cognates [@Orel2003; @Kroonen2013]. The selected	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
breast — OE brēost	G	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960, 65]	[@BosworthToller1898; @ClarkHall1960, 65]. The form is an established Old English	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
breast — OE brēost	G	Campbell1959	[@Campbell1959]	expected _eu_ > _ēo_ vowel history [@Campbell1959]. No special repair is needed	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
dill — OE dile	G	Kroonen2013	[@Kroonen2013]	Saxon _dilli_ and Old High German _tilli_ on the other [@Kroonen2013]. The	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
dill — OE dile	G	Fulk2018	[@Fulk2018]	[@Fulk2018].	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
dill — OE dile	B	ClarkHall1960	[@BosworthToller1898, 164; @ClarkHall1960]	_dili_ [@BosworthToller1898, 164; @ClarkHall1960]. The form discussed here is	non-regular model entry	018	Exact OE headword sweep in local page-marked OCR found dile on p. 018.	leave broad	page found but claim not isolated	no	left_broad
fast — OE festan	G	Kroonen2013	[@Kroonen2013]	[@Kroonen2013]. Ringe and Taylor, however, distinguish the Old English verb	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
fast — OE festan	G	RingeTaylor2014	[@RingeTaylor2014]	family [@RingeTaylor2014].	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
fast — OE festan	G	RingeTaylor2014	[@RingeTaylor2014]	[@RingeTaylor2014].	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
flask — OE flasce	G	Orel2003	[@Orel2003; @Kroonen2013]	formation _\*fláskōn_ / _\*flaskǭ_ [@Orel2003; @Kroonen2013]. That distinction is	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
flask — OE flasce	G	Kroonen2013	[@Orel2003; @Kroonen2013]	formation _\*fláskōn_ / _\*flaskǭ_ [@Orel2003; @Kroonen2013]. That distinction is	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
flask — OE flasce	G	RingeTaylor2014	[@RingeTaylor2014]	forms _flascan_ support that analysis [@RingeTaylor2014].	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
flask — OE flasce	G	Campbell1959	[@Campbell1959]	its Old English shape [@Campbell1959].	non-regular model entry			leave broad	not inspected in this pass	no	not_inspected
