# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv + registry/sc_inventory_notes.tsv + germanic.txt + rule_coverage_census
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# current_order is the ARCHIVAL inventory order (registry inventory_order),
# not the executable cascade position; executable positions come from
# oe_pipeline / cascade_order_manifest.tsv.
change_id	current_order	display_name	stage	trace_stage	rule_source_path	rule_source_anchor	foma_definition_raw	plain_description_draft	appears_in_compact_trace	firing_count	firing_lexemes	illustrative_lexemes	literature_status	order_sensitivity_status	notes	entry_type	include_in_volume	historical_stage	pipeline_stage	canonical_change_id	duplicate_group	is_reader_facing	review_note	needs_human_review
SC082	81	OE Intervocalic J Vocalization	Old English	Old English	Germanic/fsts/germanic.txt	define OEIntervocalicJVocalization	define OEIntervocalicJVocalization [ {*j} -> {*i} || EnglishStarVocalic _ EnglishStarVocalic ];	OE Intervocalic J Vocalization	yes	9	bore, handle, learn, lick, make, show, spare, sunder, three		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC082		yes		no
SC083	82	OE Unstressed EI Contraction	Old English	Old English	Germanic/fsts/germanic.txt	define OEUnstressedEIContraction	define OEUnstressedEIContraction [ {*e} -> 0 || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ {*i} ];	OE Unstressed EI Contraction	yes	8	bore, handle, learn, lick, make, show, spare, sunder		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC083		yes		no
SC084	83	OE Weight Cleanup	Old English	Old English	Germanic/fsts/germanic.txt	define OEWeightCleanup	define OEWeightCleanup ?*;	OE Weight Cleanup	no	0			not_started	not_started		technical_marker	appendix	Technical	Old English	SC084		no	Identity cleanup checkpoint after weight-sensitive rules; methodological appendix only.	no
SC085	84	OE H Loss	Old English	Old English	Germanic/fsts/germanic.txt	define OEHLoss	define OEHLoss [ {*x} -> 0 || EnglishStarVocalic _ EnglishStarVocalic ];	OE H Loss	yes	4	flee, slay, ten, toe		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC085		yes		no
SC086	85	OE Contraction	Old English	Old English	Germanic/fsts/germanic.txt	define OEContraction	define OEContraction [ {*a} {*a} -> {*ā}, {*e} {*e} -> {*ē}, {*i} {*i} -> {*ī}, {*o} {*o} -> {*ō}, {*u} {*u} -> {*ū}, {*ea} {*a} -> {*ēa}, {*ēa} {*a} -> {*ēa}, {*eo} {*a} -> {*ēo}, {*ēo} {*a} -> {*ēo}, {*eo} {*o} -> {*ēo}, {*ēo} {*o} -> {*ēo}, {*éo} {*o} -> {*ḗo}, {*ḗo} {*o} -> {*ḗo}, {*ā} {*a} -> {*ā}, {*ā} {*e} -> {*ā}, {*ē} {*a} -> {*ē}, {*ē} {*e} -> {*ē}, {*ḗ} {*a} -> {*ḗ}, {*ḗ} {*e} -> {*ḗ}, {*ī} {*a} -> {*ī}, {*ī} {*e} -> {*ī}, {*ḯ} {*a} -> {*ḯ}, {*ḯ} {*e} -> {*ḯ}, {*ō} {*a} -> {*ō}, {*ō} {*e} -> {*ō}, {*ū} {*a} -> {*ū}, {*ū} {*e} -> {*ū} ];	OE Contraction	yes	5	flee, slay, ten, three, toe		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC086		yes		no
SC087	86	OE R Metathesis	Old English	Old English	Germanic/fsts/germanic.txt	define OERMetathesis	define OERMetathesis [ {*r} {*e} -> {*e} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*u} -> {*u} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*i} -> {*i} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*o} -> {*o} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*a} -> {*a} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*é} -> {*é} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*ó} -> {*ó} {*r} || EnglishStarConsonant _ {*s} {*t}, {*r} {*á} -> {*á} {*r} || EnglishStarConsonant _ {*s} {*t} ];	OE R Metathesis	yes	2	burst, frost		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC087		yes		no
SC088	87	OE Epenthetic Vowel	Old English	Old English	Germanic/fsts/germanic.txt	define OEEpentheticVowel	define OEEpentheticVowel OEEpentheticInsertion .o. OEEpentheticBackShift .o. OEEpentheticFront .o. OEGLInsertion;	OE Epenthetic Vowel	yes	13	beaver, finger, fodder, leather, liver, rudder, thunder, timber, weather, wether, winter, wonder, fowl		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC088		yes		no
SC089	88	OE Late Unstressed Ag Suffix	Old English	Old English	Germanic/fsts/germanic.txt	define OELateUnstressedAgSuffix	define OELateUnstressedAgSuffix ( [{*a} -> {*e} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ {*g}] .o. [{*g} -> {*ʤ} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ {*e} _ .#.] .o. [{*e} -> {*i} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ {*ʤ}] );	OE Late Unstressed Ag Suffix	yes	2	honey, withy		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC089		yes		no
SC090	89	OE Cj Cleanup	Old English	Old English	Germanic/fsts/germanic.txt	define OECjCleanup	define OECjCleanup [ {*ʤ} {*j} -> {*ʤ} ];	OE Cj Cleanup	no	0			not_started	not_started		orthography_surface	appendix	Orthography & surface	Old English	SC090		no	Post-cascade palatal-cluster cleanup before orthography; treat as appendix machinery, not a main sound change.	no
SC091	90	OE Xs Merge	Old English	Old English	Germanic/fsts/germanic.txt	define OEXsMerge	define OEXsMerge [ {*x} {*s} -> {XS} ];	OE Xs Merge	yes	6	flax, fox, ox, six, wax		not_started	not_started		orthography_surface	appendix	Orthography & surface	Old English	SC091		no	Post-cascade surface merge feeding orthographic x; keep as appendix material rather than a reader-facing historical entry.	no
SC092	91	Old English Orthography	Orthography & surface	Orthography & surface	Germanic/fsts/germanic.txt	define OldEnglishOrthography	define OldEnglishOrthography [ {*θ} -> þ, {*ð} -> ð, {*ʧ} -> ċ, {*ʤ} -> ġ, {*ç} -> h, {*ʒ} -> ġ, {*ʋ} -> w, {*x} -> h, {*v} -> f, {*j} -> ġ, {*ɡ} -> g, {*ʊ} -> u, {*ɔ} -> o, {*ɔ̆} -> a, {*ʃ} -> {sċ} ];	Old English Orthography	yes	128	bath, begin, believe, belly, berry, bow, breeches, calf, chew, day, drench, earth, fee, fight, fish, flea, flesh, follow, fright, furrow, gall, gift, give, guest, hail, hair, hall, hammer, hand, handle, harm, harvest, have, haw, hawk, hay, hazel, head, heal, heart, hearth, heath, heaven, hedge, helm, help, herd, hew, hind, hoard, hold, home, honey, hood, hoof, horn, hound, knight, lade, laugh, leather, lid, light, live, loath, might, month, nail, neck, night, rain, rainbow, raven, rudder, rye, sail, seek, shaft, shame, shear, sheath, sheep, shield, shilling, shine, shoulder, shove, shovel, show, shower, singe, stretch, strew, string, thane, thanks, thatch, thief, thing, think, thirst, thistle, thorn, thousand, thrash, three, thunder, wain, way, wether, whale, while, whine, whore, wight, withy, yarn, year, yoke, youth, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (iptv.2sg), show (3sg), who		not_started	not_started		orthography_surface	appendix	Orthography & surface	Orthography & surface	SC092		no	Orthography conversion from starred symbols to displayed Old English graphemes.	no
SC094	93	Old English Remove Stars	Orthography & surface	Orthography & surface	Germanic/fsts/germanic.txt	define OldEnglishRemoveStars	define OldEnglishRemoveStars [ {*ea} -> e a, {*ēa} -> ē a, {*eo} -> e o, {*ēo} -> ē o, {*io} -> i o, {*īo} -> ī o, {*ie} -> i e, {*īe} -> ī e, {*éa} -> e a, {*ḗa} -> ē a, {*éo} -> e o, {*ḗo} -> ē o, {*ío} -> i o, {*íe} -> i e, {*ʃ} -> s ċ, {*a} -> a, {*ā} -> ā, {*ą} -> a, {*ų} -> u, {*ɔ} -> o, {*ɔ̆} -> a, {*æ} -> æ, {*ǣ} -> ǣ, {*e} -> e, {*ĕ} -> e, {*ē} -> ē, {*ḗ} -> ē, {*i} -> i, {*ī} -> ī, {*ḯ} -> ī, {*o} -> o, {*ō} -> ō, {*u} -> u, {*ū} -> ū, {*ȳ} -> ȳ, {*y} -> y, {*á} -> a, {*é} -> e, {*í} -> i, {*ó} -> o, {*ú} -> u, {*à} -> a, {*è} -> e, {*ì} -> i, {*ò} -> o, {*ù} -> u, {*ái} -> a i, {*áu} -> a u, {*éu} -> e u, {*íu} -> i u, {*b} -> b, {*β} -> f, {*d} -> d, {*f} -> f, {*g} -> g, {*k} -> c, {*l} -> l, {*m} -> m, {*n} -> n, {*p} -> p, {*r} -> r, {*s} -> s, {*t} -> t, {*w} -> w, {XS} -> x, {*z} -> z, {*ŋ} -> n, {*ɡ} -> g ];	Old English Remove Stars	yes	385	adder, bake, ban, barrow, bast, bath, beard, beaver, beech, begin, believe, belly, berry, bier, bind, birth, blood, board, bone, book, bore, bosom, both, bottom, bough, bow, bower, brand, bread, break, breast, breeches, bride, bring, brook, burst, calf, chew, climb, comb, corn, cow, craft, crop, cud, dale, day, deal, deed, deer, dew, dill, do, door, dough, dream, drench, drink, drive, earth, eat, eel, fall, fare, fast, father, fee, fell, fern, field, fight, find, finger, fish, fist, flask, flax, flea, flee, flesh, flood, fly, foal, fodder, fold, folk, follow, forlorn, four, fox, freeze, friend, fright, frost, furrow, gall, gang, ghost, gift, give, god, gold, goose, grass, grave, gripe, ground, guest, hail, hair, hall, hammer, hand, handle, harm, harvest, have, haw, hawk, hay, hazel, head, heal, heart, hearth, heath, heaven, hedge, helm, help, herd, hew, hind, hoard, hold, home, honey, hood, hoof, horn, hound, knead, knee, knight, knob, lade, land, lap, last, laugh, lead, leaf, learn, leather, leek, let, lick, lid, life, light, lime, linden, line, list, live, liver, loam, loath, lock, louse, lung, lust, lye, make, malt, man, march, mast, meal, mean, meed, might, milk, month, mood, mother, nail, name, nave, navel, neck, need, needle, nest, net, nettle, night, nightmare, nine, nose, one, oven, ox, rain, rainbow, raven, read, reek, rest, ride, rind, coat, rood, room, rope, rudder, run, rye, sail, sake, salt, salve, sap, sea, seam, seek, send, set, seven, shaft, shame, shear, sheath, sheep, shield, shilling, shine, shoulder, shove, shovel, show, shower, side, sieve, sing, singe, sister, sit, six, slay, sleep, slime, smear, snow, sorrow, soul, span, spar, spare, spear, spin, spindle, spoon, spread, spur, staff, start, starve, steal, stem, still, stock, stone, stool, stork, storm, straw, stream, stretch, strew, string, stud, summer, sun, sunder, sup, swallow, swan, swell, swim, swine, sword, team, ten, thane, thanks, thatch, thief, thing, think, thirst, thistle, thorn, thousand, thrash, three, thunder, tick, tide, timber, toe, token, tongs, tongue, town, tread, trough, wade, wain, wake, warp, wart, wash, wasp, water, wax, way, weapon, weasel, weather, weave, west, wether, whale, while, whine, whore, widow, wield, wife, wight, will, wind, winter, withy, wold, wonder, word, world, worm, wring, yarn, year, yoke, youth, make (iptv.2sg), make (3sg), bore (iptv.2sg), bore (3sg), learn (iptv.2sg), learn (3sg), lick (iptv.2sg), lick (3sg), show (iptv.2sg), show (3sg), who, you, wound, sow, betray, tap, fire, buck, fowl, rust, wolf, wool		not_started	not_started	support stage rather than a reader-facing sound-change label in the compact trace	orthography_surface	appendix	Orthography & surface	Orthography & surface	SC094		no	Prosodic/star stripping boundary between internal symbols and displayed forms.	no
SC095	94	Old English Surface	Orthography & surface	Orthography & surface	Germanic/fsts/germanic.txt	define OldEnglishSurface	define OldEnglishSurface OldEnglishSurfaceSyllable+;	Old English Surface	no	0			not_started	not_started	support stage rather than a reader-facing sound-change label in the compact trace	support_stage	no	Technical	Orthography & surface	SC095		no	Final surface acceptor/filter, not a historical sound change rule.	no
SC096	95	Root-noun nominative *-z* loss	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define RootNounNomZLoss	define RootNounNomZLoss [{*z} -> 0 || .#. [EnglishStarConsonant | EnglishPalatalConsonant]* EnglishStarVocalic+ [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#.];	Loss of the nominative-singular marker *-z after stem-final consonant in athematic (root-noun/consonant-stem) nominatives (*bōkz > *bōk, *gánsz > *gáns, *lūsz > *lūs, *fláuxz > *fláux); morphological/analogical elimination complete before Proto-West Germanic.	yes	4	book, flea, goose, louse		not_started	not_started	New rule 2026 from the SC020 three-rule split (Dossier A sc020-dossier-a-root-noun-nominative-z.md; adjudication memo). Primarily a morphological development (endingless nominative generalized in the consonant-stem paradigm); the Foma environment (monosyllabic -Cz#) is a proxy stated over the corpus domain. Composed at the head of EnglishProtoToOE, before PWGmcIjContraction, so contraction-created monosyllables (friend *fríundz) never reach it. Identifier RootNounNomZLoss is a working placeholder pending global rename. Scope: WGmc absolute; NGmc conditional (see dossier).	historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC096		yes		no
SC097	96	Northern West Germanic monosyllabic final *z*-loss	Early Anglo-Frisian	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define MonosyllabicFinalZLoss	define MonosyllabicFinalZLoss [ {*a} -> {*ā}, {*á} -> {*ā}, {*e} -> {*ē}, {*é} -> {*ḗ}, {*i} -> {*ī}, {*í} -> {*ḯ}, {*o} -> {*ō}, {*ó} -> {*ō}, {*u} -> {*ū}, {*ú} -> {*ū} || .#. [EnglishStarConsonant | EnglishPalatalConsonant]* _ {*z} .#. ] .o. [ {*z} -> 0 || .#. [EnglishStarConsonant | EnglishPalatalConsonant]* EnglishStarVocalic+ _ .#. ];	Later northern West Germanic loss of word-final *-z in stressed monosyllables, with compensatory lengthening of a short nucleus (*maiz > OE mā, *hwaz > hwā, *kūz > cū); OHG instead rhotacizes (ir, wir, mēr). Corpus witness: who (*xwaz > OE hwa).	yes	1	who		not_started	not_started	New rule 2026 from the SC020 three-rule split (Dossier C sc020-dossier-c-northern-monosyllable-final-z.md; adjudication memo). Genuine historical change (R/T 2014 pp.86-87; Fulk 2018; Crist 2002) now corpus-witnessed by who (*xwaz > OE hwa; corpus-maturation pass 2026) in addition to the synthetic unit examples. Must stay after the SC018/SC019 o-raisers (premature z-loss would expose English-doculect *-oz forms to raising). Identifier MonosyllabicFinalZLoss is a working placeholder pending global rename. Conditioning (quality-neutral vs front-vowel) analysis-dependent, see Dossier C §3.	historical_sound_change	yes	Early Anglo-Frisian	Early Anglo-Frisian	SC097		yes		no
SC098	97	Early apocope in unstressed words	West Germanic	West Germanic	Germanic/fsts/germanic.txt	define PWGmcUnstressedWordFinalIApocope	define PWGmcUnstressedWordFinalIApocope [ {*i} -> 0 || {*w} {*w} _ .#. ];	Proto-West Germanic apocope of word-final short high vowels after heavy syllables in unstressed words (*iwwi > *iww beside stressed *iuwi); OE eow continues the unstressed sentence variant, as its lack of i-umlaut proves.	yes	1	you		not_started	not_started	New rule 2026 (corpus-maturation pass; dossier sc098-dossier-unstressed-word-final-i-apocope.md). Exceptionless prosodically conditioned law (R/T 2014: 57-58); apparent exceptions are proclitics outside the environment (R/T's own account). Licenses PWGmc *iuwi ~ *iuw (R/T 2014: 41-42). Fed by SC020 (z-loss makes *-i final); bleeds SC055 i-umlaut (dating evidence). Proxy environment over the SC008 geminate *ww domain, exactly coextensive with the law's unstressed-word corpus domain (cf. SC096 proxy convention). Composed after EAFFinalZDeletion, before MonosyllabicFinalZLoss.	historical_sound_change	yes	Proto-West Germanic	West Germanic	SC098		yes		no
SC099	69	OE Medial Unstressed O Raising	Old English	Old English	Germanic/fsts/germanic.txt	define OEMedUnstressedORaising	define OEMedUnstressedORaising [ {*o} -> {*u} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ [EnglishStarConsonant | EnglishPalatalConsonant]* EnglishStarVocalic ];	OE Medial Unstressed O Raising	yes	1	wound		not_started	not_started	Shortened unstressed *o (< original PWGmc *ō) > u in medial syllables. Directly demonstrated for West Saxon ō-verb pasts only: Stausland Johnsen 2015 pp.28-31, 36; witness *wúndōdē > wundude. Does not assert inherited short-*o raising or extend to Northumbrian nominal relics; see sc021-adjudication.md.	historical_sound_change	yes	Old English	Old English	SC099		yes		no
SC100	70	OE Final Unstressed O Lowering	Old English	Old English	Germanic/fsts/germanic.txt	define OEFinalUnstressedOLowering	define OEFinalUnstressedOLowering [ {*o} -> {*a} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ [EnglishStarConsonant | EnglishPalatalConsonant]* .#. ];	OE Final Unstressed O Lowering	yes	6	month, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg)		not_started	not_started	Final outcome of shortened unstressed *o (< original *ō), paired with SC099. Stausland Johnsen 2015 pp.28-31 supports the medial/final contrast; the corpus witnesses are final-syllable controls.	historical_sound_change	yes	Old English	Old English	SC100		yes		no
SC101	27	EAF Long A Fronting (a > ae, non-nasal)	Early Anglo-Frisian	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define EAFLongAFronting	define EAFLongAFronting [ {*ā} -> {*ǣ} || _ [EnglishStarConsonant - EnglishStarNasal - {*w}], {*ā} -> {*ǣ} || _ {*w} EnglishIUmlautTrigger ];	EAF Long A Fronting	yes	14	adder, bier, deed, eel, hair, let, meal, needle, read, sheep, sleep, weapon, year, betray		adjudicated	first_break_complete	Change B of the e1 complex (new identity from the SC024 split): much later northern-WGmc fronting of non-nasalized stressed *ā > WS ǣ, Angl./Kent./OFris ē, sporadic OS e (R/T §5.1.2 pp.149-150). Consumes *ā < *ē₁ (SC024). The historically established *w conditioning is now encoded: fronting is blocked before *w (verba pura sāwan, cnāwan, blāwan, māwan; R/T p.151, with Hogg 1992: 81 — the simplest hypothesis is that fronting never occurred there) unless the *w is followed by high-front *i/*ī/*j, where fronting applies (*lāwijan- > lǣwan, eltǣwe, brǣw; R/T p.150). Corpus witnesses: sow (blocked, fed by SC102) vs betray (fronted at the SC101 boundary itself, not by later i-umlaut). Position 28, immediately before SC004: fronting was well under way before *ai > ā completed (Campbell §132; R/T pp.169-170) — displacement after SC004 yields **lǣþ, **rǣp, **tǣcn, **sǣwol, **ġēast; displacement after SC056 yields **sċǣp, **ġǣr. See sc024-sc025-sc101-e1-complex-adjudication.md.	historical_sound_change	yes	Early Anglo-Frisian	Early Anglo-Frisian	SC101		yes		no
SC102	27	EAF Hiatus W Insertion (verba pura *w)	Early Anglo-Frisian	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define EAFHiatusWInsertion	define EAFHiatusWInsertion [ [..] -> {*w} || {*ā} _ EnglishStarVocalic ];	EAF Hiatus W Insertion	yes	1	sow		adjudicated	first_break_complete	New identity from the sow/laewan follow-up to the e1-complex adjudication: pre-OE/Anglo-Frisian hiatus-filling *w in the vowel-final strong-verb roots (verba pura), *sāan- (< *sēaną by SC024) > *sāwan- (R/T vol.2 p.12, p.151, citing Þórhallsdóttir 1993: 82-137, known here only through R/T). Regular first before the *u-initial endings (pres.ind.1sg *-u, past ind.pl. *-un), analogically generalized through the paradigm; the executable rule is a provisional paradigm-level implementation of that outcome on citation forms ({*ā} _ V). Confidence B on its own grounds, not from the Fulk/*ē₁ dispute governing SC024/SC025/SC101: the broad innovation is supported by the scholarship consulted, but the phonological-versus-analogical architecture awaits direct adjudication from the specialist source (memo §13.4). Anglo-Frisian scope: OFris did the same (grōwinge), but OS/OHG repaired the hiatus with *j (sāian, sāen), so this is not common WGmc. Must precede SC101 — the inserted *w is what blocks fronting in sāwan (R/T p.151: early enough to prevent fronting of *ā in pre-OE); must follow PWGmc intervocalic *w-loss (R/T p.151 n.9, §3.1.5). Position 26.	historical_sound_change	yes	Early Anglo-Frisian	Early Anglo-Frisian	SC102		yes		no
SC103	26	PGmc Nasal Loss before *x (*aNx > *a-nasal-long x)	Proto-Germanic	Proto-Germanic	Germanic/fsts/germanic.txt	define PGmcNasalLossBeforeX	define PGmcNasalLossBeforeX [ {*a} -> {*ã} || _ EnglishStarNasal {*x}, {*i} -> {*ī} || _ EnglishStarNasal {*x}, {*u} -> {*ū} || _ EnglishStarNasal {*x}, {*á} -> {*ã} || _ EnglishStarNasal {*x}, {*í} -> {*ī} || _ EnglishStarNasal {*x}, {*ú} -> {*ū} || _ EnglishStarNasal {*x} ] .o. [ EnglishStarNasal -> 0 || _ {*x} ];	PGmc Nasal Loss before *x	yes	1	fist		adjudicated	stage_entailed	Split out of SC026/SC027: PGmc *-Nx- > long nasalized vowel + *x, pan-Germanic (Campbell §119 p.44; Fulk §4.1 p.55; Ringe vol.1 §3.2.7(ii) pp.149-150). Comparative test: the nasal is lost in ALL daughters (OHG fūst, fūht, brāhta; Go. þūhta), unlike the Ingvaeonic law, whose witnesses keep the nasal outside the North Sea area (OHG fimf, gans, ander, jugund). Feeds SC028 PNWGmcPreconsonantalXLoss by creating the *xst cluster of fist. Nasalized-low-vowel adjudication: the low-vowel branch now outputs nasalized long *ą̄ rather than *ō — the rounding is the later Anglo-Frisian SC104 — and the rule was moved from executable position 23 to position 1, output-equivalently, so that a pan-Germanic change no longer follows the NWGmc and PWGmc innovations.	historical_sound_change	yes	Proto-Germanic	Proto-Germanic	SC103		yes		no
SC104	25	AF Nasalized Low Vowel Rounding (*a-nasal-long > *o-long)	Early Anglo-Frisian	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define EAFNasalizedLowRounding	define EAFNasalizedLowRounding [ {*ã} -> {*ō} ];	AF Nasalized Low Vowel Rounding	yes	3	goose, month, spoon		adjudicated	stage_entailed	NEW (sc025-sc104-nasalized-low-vowel-adjudication.md). One later Anglo-Frisian change rounding the long nasalized low vowel *ą̄ to *ō, with three independent feeding sources: SC103 (PGmc *aNx), SC026/SC027 (the North Sea Germanic nasal-spirant law) and SC025 (inherited long *ā before a retained nasal). Campbell §128 n.1 p.50 unifies them explicitly and shows the intermediate was unrounded (cf. samcucu, where very early shortening gives a, not o). Scope anglo_frisian: Old Saxon keeps ā invariably for the PGmc class and rounds only variably for the Ingvaeonic class (Campbell §119 p.44; Fulk §4.11 p.72). No explicit *ī̃ or *ū̃ is represented: they develop exactly like oral *ī and *ū (Campbell §121 p.47). Confidence A, independent of the disputed *ē₁ reconstruction feeding SC025.	historical_sound_change	yes	Anglo-Frisian	Early Anglo-Frisian	SC104		yes		no
